dgp1,dgp2,dgp3,dgp4,null,death
22.25848400123785,27.66772770476231,32.401537911020085,35.18762912879731,25.204458175964714,0.0
21.036626724784927,27.036035150542116,30.747471189146342,31.11019080667145,24.99001114785419,0.0
21.291882764925468,27.251347383269657,31.892812230468753,33.02325372212403,27.075364618981187,0.0
22.268508108701695,27.97827310702907,34.153182719155765,34.21981654939574,26.29229362338259,0.0
22.860765492634343,27.72002099435261,33.995215315304804,33.159586653062966,27.18070394473677,0.0
22.008663024106205,25.698521611935774,30.86092576590248,32.516125152894325,23.584054088438506,0.0
21.90432453742815,26.920424120288136,32.25265489829526,32.07738803122835,22.3810571488022,0.0
18.928013683438778,23.615824664602947,28.33453752969483,29.941601111957752,22.49182964278355,0.0
19.89053351608841,26.39672666993023,29.615083227763048,31.365010117703786,25.61001094370968,0.0
17.273993650742057,27.37726695577264,29.40419074272634,29.39738093269439,22.747523135949567,0.0
18.02967980495555,26.48135243943134,28.13196742295376,32.321557138464634,23.94463109177871,0.0
16.067975455871476,25.904941622179617,27.00220065176954,29.511013885352135,21.59524139066065,0.0
14.9740145636273,25.814128698869382,25.366004649379143,28.442554245847518,21.457658354426428,0.0
14.484154184800042,24.62849869393983,24.689278051511515,26.943907731632855,22.011798570715648,0.0
13.11044855302053,22.67413706817407,25.151038836444684,25.867907033779048,23.247705393101626,88.0
12.440147105845348,21.572380301445463,24.53404846451627,26.901385828629998,21.39543812505015,62.0
15.428637950989373,22.0652458914543,22.713889073948618,28.02442243067136,18.7194576844337,84.0
21.374708961078586,26.033381337004528,24.580814048511737,31.624845461441808,20.651533698836985,85.0
23.11956706170399,28.402732598698954,28.03630416121315,32.45190952531672,23.547078925654063,102.0
22.19980447959007,26.653739078009956,30.33346004323478,29.291949764213605,25.03780564102854,153.0
21.912568524685586,29.667934909548457,30.945975185393795,28.880980148833576,24.154433328140968,177.0
20.85219550774139,30.521197612548594,29.66561858574591,28.82552974146072,22.465238112920517,195.0
22.786653992034665,31.577903479609056,32.26514435206885,31.153251619823727,26.149544505123963,266.0
20.14113875431565,31.335363697385645,30.549840083384524,30.034163567600462,25.543120764241376,308.0
25.678867154027195,32.973705390516834,34.80685997250996,33.88382270858216,29.88804798510991,322.0
28.282592774735427,34.32487393315484,33.84997845708607,35.28297052254464,29.36623787733253,392.0
30.820279213731446,35.82960005285548,33.45184896917389,37.485269624780265,29.975741249142754,452.0
31.334262410075866,34.607582486415325,33.961705432989056,36.564041806884994,30.758771178601176,462.0
29.567495053604723,33.240722289814535,31.18530574449371,34.44810417446829,30.240333571098958,565.0
28.670817719460814,30.864959286291924,28.806737135533403,33.206905149287344,27.174600497511136,494.0
30.32063570663985,33.01456327668495,35.04641873953204,34.66152959071529,26.683537876251116,430.0
25.549543428350205,31.926016720032795,32.33123869910254,30.418233280681306,24.762804314381043,439.0
26.416269641782016,34.55713323143672,33.89595843452461,31.784154690796782,27.458901528420146,456.0
23.550526454310955,31.079850579811286,31.543804141639956,29.016762316317276,24.662471393275176,433.0
22.66132263775526,29.496791517574714,29.90566388021634,30.204470474195652,22.588807782667764,383.0
23.933011572763398,30.427176542728095,28.665736812765857,31.21687735392256,24.37830430973343,312.0
23.64846749213387,31.21795946390682,32.06434323468749,28.453207520176143,21.193055670349267,274.0
26.26301791487764,29.710359575319117,31.925200685956682,29.255651155058732,21.517002875406135,251.0
25.905645024374675,29.958086305609843,32.382780506738094,28.99001647022779,21.54723075251667,328.0
24.576956519115498,30.845245795995467,32.97391234989976,31.077432052620637,23.298002163301955,331.0
24.0850628106813,27.453105168820517,30.20635450230031,29.79094312140344,22.57985435801823,314.0
21.553165817637655,26.193292911376105,31.35496805949863,26.005719650488395,22.65549569123876,225.0
23.28563885673598,30.913440967704112,31.37322708300976,28.58556353326985,25.492201791923428,186.0
25.72677544177406,29.30481511001136,32.83852709795397,27.371614048018138,28.19550858262198,216.0
26.130364359460167,31.477012365494154,31.67129049239776,30.26154325330871,27.560993581493772,298.0
24.3564698537464,29.120930299895473,28.155051994445234,28.534290854950406,26.296190583739595,235.0
27.66980369285675,32.364252500643474,32.84871246853248,29.24212086438721,27.545827414663332,331.0
26.21590693453124,32.42851600531012,30.259583167602578,29.149381897619307,29.882161575696777,338.0
26.683683109176638,32.792254062307435,32.97025455386146,27.63637593202089,31.14480248172362,363.0
27.59233418614877,34.57495963482583,31.6595010509931,25.085209857549515,28.817463847975997,371.0
27.25162286002675,34.22621821732041,32.13748626111892,25.633557578766748,27.546332917217185,335.0
25.901616960992513,33.29039177142197,30.002263026522165,25.573877626986068,26.922724730888522,315.0
29.283686754445302,34.86970648753031,33.228894088746706,26.836534892163293,27.279808172470737,333.0
32.598860273457454,36.75021905754474,36.111951920453365,30.38436603234688,33.12791519161228,356.0
29.833597037416226,33.221462101780496,33.31223893104685,28.722509522887492,31.20247565738944,345.0
30.34274435877449,31.167945931288536,31.091306900324923,29.46587380959464,31.501005761393433,428.0
29.91562496004555,29.27579044516135,29.661656009399547,24.383463748429083,30.579950766463153,322.0
27.730973085821883,28.376213735316675,28.326889154113278,22.38188782020667,29.350379268787275,223.0
30.339698092325964,31.59233152173673,31.60604866559312,26.91979353560883,30.500913878974664,191.0
26.81251689266089,29.918002751230567,30.119382992144928,23.62028151328048,28.52393241463038,252.0
28.180171019134537,31.29364529722356,31.742042579505153,23.250452776830144,27.58362002288046,213.0
